iter	Passed	Remaining
962	3533	7474
963	3536	7469
964	3539	7464
965	3543	7460
966	3546	7456
967	3550	7452
968	3553	7448
969	3558	7446
970	3561	7441
971	3564	7437
972	3567	7432
973	3571	7428
974	3575	7426
975	3579	7422
976	3583	7419
977	3586	7415
978	3590	7411
979	3593	7407
980	3597	7405
981	3602	7403
982	3606	7399
983	3609	7394
984	3612	7389
985	3615	7385
986	3618	7380
987	3622	7376
988	3625	7371
989	3628	7367
990	3631	7362
991	3635	7358
992	3638	7354
993	3642	7350
994	3645	7345
995	3649	7341
996	3652	7337
997	3655	7333
998	3659	7329
999	3662	7325
1000	3666	7321
1001	3669	7317
1002	3672	7312
1003	3676	7308
1004	3679	7304
1005	3683	7300
1006	3686	7296
1007	3689	7292
1008	3693	7287
1009	3696	7282
1010	3699	7278
1011	3703	7274
1012	3706	7270
1013	3710	7267
1014	3714	7264
1015	3717	7260
1016	3721	7256
1017	3724	7251
1018	3728	7247
1019	3731	7244
1020	3735	7239
1021	3738	7236
1022	3742	7233
1023	3746	7228
1024	3750	7225
1025	3753	7221
1026	3756	7217
1027	3760	7213
1028	3763	7209
1029	3767	7204
1030	3770	7200
1031	3774	7197
1032	3777	7193
1033	3781	7189
1034	3784	7185
1035	3788	7182
1036	3792	7178
1037	3796	7175
1038	3799	7171
1039	3802	7167
1040	3806	7163
1041	3810	7159
1042	3813	7155
1043	3817	7151
1044	3820	7147
1045	3824	7143
1046	3827	7139
1047	3831	7135
1048	3834	7131
1049	3837	7127
1050	3841	7123
1051	3844	7118
1052	3848	7115
1053	3851	7111
1054	3855	7107
1055	3859	7105
1056	3862	7100
1057	3866	7096
1058	3869	7092
1059	3873	7089
1060	3876	7084
1061	3880	7080
1062	3883	7075
1063	3886	7072
1064	3889	7067
1065	3893	7062
1066	3896	7058
1067	3899	7053
1068	3903	7050
1069	3906	7046
1070	3909	7042
1071	3913	7038
1072	3918	7036
1073	3921	7032
1074	3924	7028
1075	3928	7024
1076	3931	7019
1077	3935	7016
1078	3938	7012
1079	3942	7008
1080	3946	7006
1081	3949	7001
1082	3953	6997
1083	3957	6994
1084	3960	6990
1085	3964	6986
1086	3967	6982
1087	3971	6979
1088	3975	6975
1089	3978	6972
1090	3982	6968
1091	3985	6964
1092	3989	6959
1093	3992	6955
1094	3995	6951
1095	3999	6947
1096	4002	6943
1097	4007	6941
1098	4010	6937
1099	4014	6933
1100	4017	6929
1101	4021	6925
1102	4024	6921
1103	4027	6917
1104	4031	6913
1105	4034	6908
1106	4039	6907
1107	4042	6903
1108	4046	6899
1109	4049	6895
1110	4053	6891
1111	4056	6886
1112	4059	6882
1113	4062	6878
1114	4066	6875
1115	4070	6871
1116	4073	6867
1117	4077	6863
1118	4081	6860
1119	4084	6856
1120	4088	6852
1121	4091	6848
1122	4094	6844
1123	4098	6840
1124	4102	6836
1125	4106	6834
1126	4109	6829
1127	4112	6825
1128	4116	6822
1129	4121	6819
1130	4124	6816
1131	4129	6814
1132	4132	6810
1133	4136	6805
1134	4139	6801
1135	4142	6797
1136	4146	6794
1137	4149	6789
1138	4153	6786
1139	4156	6782
1140	4160	6777
1141	4163	6774
1142	4167	6770
1143	4170	6766
1144	4173	6761
1145	4177	6757
1146	4180	6753
1147	4183	6749
1148	4187	6746
1149	4191	6742
1150	4194	6738
1151	4198	6734
1152	4201	6730
1153	4205	6726
1154	4208	6722
1155	4212	6719
1156	4215	6715
1157	4219	6711
1158	4223	6708
1159	4227	6706
1160	4232	6703
1161	4235	6699
1162	4238	6694
1163	4242	6692
1164	4246	6688
1165	4250	6684
1166	4253	6680
1167	4256	6676
1168	4260	6672
1169	4262	6667
1170	4267	6665
1171	4271	6661
1172	4274	6658
1173	4278	6655
1174	4282	6650
1175	4285	6646
1176	4288	6642
1177	4292	6639
1178	4296	6636
1179	4300	6632
1180	4303	6628
1181	4307	6625
1182	4310	6620
1183	4314	6617
1184	4318	6613
1185	4321	6610
1186	4325	6606
1187	4328	6602
1188	4332	6598
1189	4335	6594
1190	4338	6590
1191	4342	6586
1192	4345	6582
1193	4349	6578
1194	4352	6573
1195	4356	6571
1196	4360	6567
1197	4363	6563
1198	4367	6559
1199	4370	6556
1200	4374	6552
1201	4378	6549
1202	4382	6546
1203	4386	6543
1204	4390	6540
1205	4393	6535
1206	4396	6531
1207	4400	6527
1208	4403	6523
1209	4407	6519
1210	4410	6515
1211	4413	6511
1212	4417	6508
1213	4421	6504
1214	4425	6501
1215	4428	6496
1216	4431	6492
1217	4434	6488
1218	4438	6485
1219	4442	6481
1220	4445	6476
1221	4448	6473
1222	4452	6469
1223	4456	6465
1224	4459	6462
1225	4463	6458
1226	4466	6454
1227	4469	6450
1228	4473	6446
1229	4476	6442
1230	4480	6438
1231	4484	6435
1232	4487	6431
1233	4491	6428
1234	4494	6423
1235	4499	6421
1236	4503	6417
1237	4506	6413
1238	4509	6409
1239	4512	6405
1240	4516	6401
1241	4519	6397
1242	4523	6394
1243	4526	6389
1244	4530	6385
1245	4533	6381
1246	4537	6378
1247	4541	6375
1248	4544	6371
1249	4548	6367
1250	4551	6363
1251	4555	6359
1252	4558	6355
1253	4562	6351
1254	4565	6348
1255	4569	6345
1256	4573	6341
1257	4577	6338
1258	4580	6334
1259	4583	6329
1260	4587	6326
1261	4591	6322
1262	4594	6318
1263	4597	6314
1264	4600	6310
1265	4604	6306
1266	4607	6301
1267	4610	6297
1268	4613	6293
1269	4617	6289
1270	4621	6286
1271	4624	6282
1272	4627	6278
1273	4631	6275
1274	4635	6271
1275	4639	6268
1276	4643	6264
1277	4646	6260
1278	4651	6258
1279	4654	6254
1280	4659	6252
1281	4662	6248
1282	4665	6243
1283	4668	6239
1284	4672	6235
1285	4675	6231
1286	4679	6227
1287	4682	6223
1288	4686	6220
1289	4690	6217
1290	4694	6214
1291	4697	6209
1292	4700	6205
1293	4704	6202
1294	4708	6198
1295	4711	6195
1296	4716	6192
1297	4720	6189
1298	4723	6185
1299	4727	6181
1300	4730	6177
1301	4733	6173
1302	4738	6170
1303	4741	6166
1304	4745	6163
1305	4748	6158
1306	4752	6155
1307	4755	6152
1308	4759	6148
1309	4763	6144
1310	4766	6141
1311	4770	6137
1312	4774	6134
1313	4777	6130
1314	4781	6126
1315	4784	6122
1316	4788	6118
1317	4791	6115
1318	4795	6111
1319	4799	6107
1320	4802	6103
1321	4805	6099
1322	4809	6095
1323	4812	6091
1324	4815	6087
1325	4819	6083
1326	4823	6081
1327	4827	6077
1328	4830	6073
1329	4834	6069
1330	4837	6065
1331	4841	6062
1332	4844	6058
1333	4847	6054
1334	4852	6051
1335	4856	6048
1336	4859	6044
1337	4863	6040
1338	4866	6036
1339	4870	6033
1340	4873	6028
1341	4877	6025
1342	4880	6022
1343	4884	6018
1344	4887	6014
1345	4891	6010
1346	4894	6006
1347	4898	6002
1348	4902	5999
1349	4906	5996
1350	4909	5992
1351	4913	5988
1352	4917	5985
1353	4920	5981
1354	4923	5977
1355	4927	5973
1356	4930	5969
1357	4935	5967
1358	4938	5963
1359	4941	5959
1360	4946	5956
1361	4951	5954
1362	4954	5950
1363	4959	5948
1364	4962	5944
1365	4966	5940
1366	4969	5936
1367	4973	5933
1368	4977	5929
1369	4981	5926
1370	4984	5922
1371	4987	5918
1372	4991	5915
1373	4995	5911
1374	4998	5907
1375	5003	5904
1376	5006	5901
1377	5010	5897
1378	5014	5893
1379	5017	5890
1380	5020	5886
1381	5024	5882
1382	5027	5878
1383	5032	5875
1384	5035	5871
1385	5038	5867
1386	5043	5864
1387	5046	5860
1388	5050	5857
1389	5053	5853
1390	5057	5849
1391	5060	5845
1392	5063	5841
1393	5066	5837
1394	5070	5833
1395	5073	5829
1396	5077	5825
1397	5080	5822
1398	5084	5818
1399	5088	5814
1400	5091	5811
1401	5094	5807
1402	5098	5803
1403	5101	5798
1404	5104	5795
1405	5109	5792
1406	5112	5788
1407	5116	5785
1408	5119	5780
1409	5123	5777
1410	5126	5772
1411	5129	5769
1412	5133	5765
1413	5136	5761
1414	5139	5757
1415	5143	5753
1416	5147	5750
1417	5150	5746
1418	5154	5742
1419	5157	5738
1420	5161	5735
1421	5165	5731
1422	5168	5727
1423	5172	5725
1424	5176	5721
1425	5179	5717
1426	5183	5713
1427	5186	5709
1428	5190	5705
1429	5193	5702
1430	5196	5697
1431	5200	5694
1432	5203	5690
1433	5206	5685
1434	5209	5681
1435	5213	5677
1436	5216	5674
1437	5220	5670
1438	5223	5666
1439	5226	5662
1440	5229	5658
1441	5234	5655
1442	5237	5651
1443	5240	5647
1444	5244	5643
1445	5248	5639
1446	5251	5636
1447	5254	5632
1448	5258	5628
1449	5261	5624
1450	5264	5620
1451	5268	5616
1452	5271	5612
1453	5275	5609
1454	5278	5605
1455	5282	5601
1456	5285	5597
1457	5288	5593
1458	5292	5589
1459	5295	5585
1460	5299	5582
1461	5303	5579
1462	5306	5575
1463	5310	5571
1464	5314	5568
1465	5318	5564
1466	5321	5561
1467	5325	5557
1468	5328	5553
1469	5332	5550
1470	5335	5546
1471	5339	5542
1472	5342	5538
1473	5346	5534
1474	5349	5530
1475	5352	5526
1476	5355	5522
1477	5359	5519
1478	5363	5515
1479	5366	5511
1480	5371	5508
1481	5374	5505
1482	5377	5501
1483	5380	5496
1484	5384	5493
1485	5387	5489
1486	5390	5485
1487	5394	5481
1488	5398	5477
1489	5401	5474
1490	5405	5470
1491	5408	5466
1492	5412	5463
1493	5416	5459
1494	5419	5455
1495	5422	5451
1496	5426	5448
1497	5430	5444
1498	5433	5441
1499	5437	5437
1500	5440	5433
1501	5444	5430
1502	5448	5427
1503	5452	5423
1504	5455	5419
1505	5459	5416
1506	5463	5413
1507	5467	5409
1508	5470	5405
1509	5473	5401
1510	5477	5397
1511	5481	5394
1512	5484	5390
1513	5489	5387
1514	5492	5383
1515	5495	5379
1516	5499	5375
1517	5502	5372
1518	5505	5368
1519	5509	5364
1520	5512	5360
1521	5516	5356
1522	5520	5353
1523	5523	5349
1524	5527	5345
1525	5530	5341
1526	5533	5338
1527	5537	5334
1528	5540	5330
1529	5544	5327
1530	5547	5323
1531	5551	5319
1532	5555	5316
1533	5559	5312
1534	5562	5308
1535	5566	5305
1536	5569	5301
1537	5572	5297
1538	5575	5293
1539	5579	5289
1540	5582	5285
1541	5586	5281
1542	5589	5277
1543	5592	5273
1544	5595	5270
1545	5599	5266
1546	5603	5262
1547	5606	5259
1548	5610	5255
1549	5614	5252
1550	5618	5248
1551	5621	5244
1552	5624	5240
1553	5627	5236
1554	5631	5232
1555	5634	5228
1556	5638	5225
1557	5642	5222
1558	5645	5218
1559	5649	5215
1560	5653	5211
1561	5656	5207
1562	5660	5204
1563	5663	5200
1564	5667	5196
1565	5670	5192
1566	5674	5188
1567	5677	5185
1568	5680	5181
1569	5684	5177
1570	5688	5174
1571	5692	5171
1572	5696	5168
1573	5700	5164
1574	5703	5160
1575	5707	5157
1576	5710	5152
1577	5713	5149
1578	5717	5145
1579	5720	5141
1580	5724	5137
1581	5728	5134
1582	5731	5130
1583	5735	5127
1584	5739	5123
1585	5742	5119
1586	5745	5115
1587	5750	5113
1588	5754	5109
1589	5757	5105
1590	5760	5101
1591	5764	5098
1592	5767	5094
1593	5770	5090
1594	5774	5086
1595	5778	5083
1596	5782	5079
1597	5785	5075
1598	5790	5073
1599	5793	5069
1600	5797	5065
1601	5800	5061
1602	5803	5057
1603	5807	5054
1604	5811	5050
1605	5815	5047
1606	5818	5043
1607	5821	5039
1608	5825	5035
1609	5828	5032
1610	5831	5028
1611	5835	5024
1612	5838	5020
1613	5841	5016
1614	5844	5012
1615	5849	5009
1616	5853	5006
1617	5856	5002
1618	5859	4998
1619	5863	4994
1620	5867	4991
1621	5871	4988
1622	5875	4984
1623	5879	4981
1624	5882	4977
1625	5885	4973
1626	5889	4970
1627	5893	4966
1628	5896	4962
1629	5900	4958
1630	5903	4955
1631	5907	4951
1632	5910	4947
1633	5913	4943
1634	5916	4939
1635	5921	4937
1636	5926	4934
1637	5929	4930
1638	5933	4926
1639	5936	4923
1640	5939	4919
1641	5942	4915
1642	5946	4911
1643	5949	4907
1644	5952	4903
1645	5956	4899
1646	5960	4896
1647	5963	4892
1648	5966	4888
1649	5970	4884
1650	5974	4881
1651	5977	4877
1652	5981	4874
1653	5985	4870
1654	5988	4866
1655	5991	4862
1656	5996	4860
1657	5999	4855
1658	6002	4852
1659	6006	4848
1660	6009	4844
1661	6013	4840
1662	6016	4837
1663	6020	4833
1664	6024	4830
1665	6027	4826
1666	6031	4822
1667	6034	4818
1668	6037	4814
1669	6041	4811
1670	6044	4807
1671	6048	4804
1672	6051	4800
1673	6055	4796
1674	6059	4793
1675	6063	4790
1676	6067	4786
1677	6071	4783
1678	6074	4779
1679	6078	4776
1680	6081	4772
1681	6086	4769
1682	6090	4765
1683	6094	4762
1684	6098	4759
1685	6102	4756
1686	6105	4752
1687	6109	4748
1688	6113	4745
